phenotype	covariates
ret	HCT_PCT___RNA
ret	HGB_g_dL___RNA
ret	IRF_PCT___RNA
ret	MCH_pg___RNA
ret	MCHC_g_dL___RNA
ret	MCV_fL___RNA
ret	RBC_10_12_L___RNA
ret	RDW_SD_fL___RNA
ret	RET_PCT___RNA
ret_p	HCT_PCT___RNA
ret_p	HGB_g_dL___RNA
ret_p	IRF_PCT___RNA
ret_p	MCH_pg___RNA
ret_p	MCHC_g_dL___RNA
ret_p	MCV_fL___RNA
ret_p	RBC_10_12_L___RNA
ret_p	RDW_SD_fL___RNA
ret_p	RET_PCT___RNA
mchc	HCT_PCT___RNA
mchc	HGB_g_dL___RNA
mchc	IRF_PCT___RNA
mchc	MCH_pg___RNA
mchc	MCHC_g_dL___RNA
mchc	MCV_fL___RNA
mchc	RBC_10_12_L___RNA
mchc	RDW_SD_fL___RNA
mchc	RET_PCT___RNA
mscv	HCT_PCT___RNA
mscv	HGB_g_dL___RNA
mscv	IRF_PCT___RNA
mscv	MCH_pg___RNA
mscv	MCHC_g_dL___RNA
mscv	MCV_fL___RNA
mscv	RBC_10_12_L___RNA
mscv	RDW_SD_fL___RNA
mscv	RET_PCT___RNA
hlr	HCT_PCT___RNA
hlr	HGB_g_dL___RNA
hlr	IRF_PCT___RNA
hlr	MCH_pg___RNA
hlr	MCHC_g_dL___RNA
hlr	MCV_fL___RNA
hlr	RBC_10_12_L___RNA
hlr	RDW_SD_fL___RNA
hlr	RET_PCT___RNA
hlr_p	HCT_PCT___RNA
hlr_p	HGB_g_dL___RNA
hlr_p	IRF_PCT___RNA
hlr_p	MCH_pg___RNA
hlr_p	MCHC_g_dL___RNA
hlr_p	MCV_fL___RNA
hlr_p	RBC_10_12_L___RNA
hlr_p	RDW_SD_fL___RNA
hlr_p	RET_PCT___RNA
irf	HCT_PCT___RNA
irf	HGB_g_dL___RNA
irf	IRF_PCT___RNA
irf	MCH_pg___RNA
irf	MCHC_g_dL___RNA
irf	MCV_fL___RNA
irf	RBC_10_12_L___RNA
irf	RDW_SD_fL___RNA
irf	RET_PCT___RNA
mch	HCT_PCT___RNA
mch	HGB_g_dL___RNA
mch	IRF_PCT___RNA
mch	MCH_pg___RNA
mch	MCHC_g_dL___RNA
mch	MCV_fL___RNA
mch	RBC_10_12_L___RNA
mch	RDW_SD_fL___RNA
mch	RET_PCT___RNA
mcv	HCT_PCT___RNA
mcv	HGB_g_dL___RNA
mcv	IRF_PCT___RNA
mcv	MCH_pg___RNA
mcv	MCHC_g_dL___RNA
mcv	MCV_fL___RNA
mcv	RBC_10_12_L___RNA
mcv	RDW_SD_fL___RNA
mcv	RET_PCT___RNA
mrv	HCT_PCT___RNA
mrv	HGB_g_dL___RNA
mrv	IRF_PCT___RNA
mrv	MCH_pg___RNA
mrv	MCHC_g_dL___RNA
mrv	MCV_fL___RNA
mrv	RBC_10_12_L___RNA
mrv	RDW_SD_fL___RNA
mrv	RET_PCT___RNA
rbc	HCT_PCT___RNA
rbc	HGB_g_dL___RNA
rbc	IRF_PCT___RNA
rbc	MCH_pg___RNA
rbc	MCHC_g_dL___RNA
rbc	MCV_fL___RNA
rbc	RBC_10_12_L___RNA
rbc	RDW_SD_fL___RNA
rbc	RET_PCT___RNA
hct	HCT_PCT___RNA
hct	HGB_g_dL___RNA
hct	IRF_PCT___RNA
hct	MCH_pg___RNA
hct	MCHC_g_dL___RNA
hct	MCV_fL___RNA
hct	RBC_10_12_L___RNA
hct	RDW_SD_fL___RNA
hct	RET_PCT___RNA
hgb	HCT_PCT___RNA
hgb	HGB_g_dL___RNA
hgb	IRF_PCT___RNA
hgb	MCH_pg___RNA
hgb	MCHC_g_dL___RNA
hgb	MCV_fL___RNA
hgb	RBC_10_12_L___RNA
hgb	RDW_SD_fL___RNA
hgb	RET_PCT___RNA
rdw_cv	HCT_PCT___RNA
rdw_cv	HGB_g_dL___RNA
rdw_cv	IRF_PCT___RNA
rdw_cv	MCH_pg___RNA
rdw_cv	MCHC_g_dL___RNA
rdw_cv	MCV_fL___RNA
rdw_cv	RBC_10_12_L___RNA
rdw_cv	RDW_SD_fL___RNA
rdw_cv	RET_PCT___RNA
plt	MPV_fL___RNA
plt	PCT_PCT___RNA
plt	PDW_fL___RNA
plt	PLT_F_10_9_L___RNA
mpv	MPV_fL___RNA
mpv	PCT_PCT___RNA
mpv	PDW_fL___RNA
mpv	PLT_F_10_9_L___RNA
pct	MPV_fL___RNA
pct	PCT_PCT___RNA
pct	PDW_fL___RNA
pct	PLT_F_10_9_L___RNA
pdw	MPV_fL___RNA
pdw	PCT_PCT___RNA
pdw	PDW_fL___RNA
pdw	PLT_F_10_9_L___RNA
mono_p	MONO_PCT___RNA
mono	MONO_PCT___RNA
baso_p	BASO_PCT___RNA
baso	BASO_PCT___RNA
eo_p	EO_PCT___RNA
eo	EO_PCT___RNA
neut_p	NEUT_PCT___RNA
neut	NEUT_PCT___RNA
lymph_p	LYMPH_PCT___RNA
lymph	LYMPH_PCT___RNA
wbc_p	BASO_PCT___RNA
wbc	BASO_PCT___RNA
